subject,task,ent_rate
1,REST,0.6905299809600599
1,S 21,0.671369775515372
1,S 22,0.6686990296617906
1,S 51,0.6444977166117196
1,S 52,0.6557298604613004
1,S 71,0.6544797282998785
1,S 72,0.6496620172003579
2,REST,0.6489260904324932
2,S 21,0.6161681953437835
2,S 22,0.5993911860033809
2,S 51,0.5992984739536397
2,S 52,0.6171524931754061
2,S 71,0.5972479522322476
2,S 72,0.5921406197871395
3,REST,0.6509175413523552
3,S 21,0.6276112856748276
3,S 22,0.6300826542863879
3,S 51,0.5908213784609979
3,S 52,0.6003797982775773
3,S 71,0.6199606852699159
3,S 72,0.613941076238615
4,REST,0.679337259228453
4,S 21,0.5802095152890616
4,S 22,0.5703230186339475
4,S 51,0.5758296787931552
4,S 52,0.5653972334202785
4,S 71,0.583962934941056
4,S 72,0.566478343382157
5,REST,0.5975516515855376
5,S 21,0.5400677030220711
5,S 22,0.5550262534238539
5,S 51,0.5490888552926438
5,S 52,0.5458161855129966
5,S 71,0.5592316234910526
5,S 72,0.5630485062150393
6,REST,0.6467189217574149
6,S 21,0.5396863839789198
6,S 22,0.5493567618532452
6,S 51,0.5954862614447572
6,S 52,0.6087588366258749
6,S 71,0.5826878332890131
6,S 72,0.5804375483069596
7,REST,0.7043745099810834
7,S 21,0.6099675310245073
7,S 22,0.6196938996273286
7,S 51,0.6258298452279387
7,S 52,0.6134970946037969
7,S 71,0.6465808455740532
7,S 72,0.648107021647566
8,REST,0.684520750291185
8,S 21,0.6398385808135822
8,S 22,0.6406063775234494
8,S 51,0.6429154274841398
8,S 52,0.6435052534344383
8,S 71,0.6359296799927667
8,S 72,0.6359330325200717
9,REST,0.6270096020973902
9,S 21,0.6052646834507689
9,S 22,0.6062339308327199
9,S 51,0.5860272231550394
9,S 52,0.5979206854607348
9,S 71,0.6166467667269118
9,S 72,0.6125225037104117
10,REST,0.6524603668394704
10,S 21,0.6157341998291949
10,S 22,0.626323275455633
10,S 51,0.6189969374219664
10,S 52,0.6210098306678918
10,S 71,0.6330592226924598
10,S 72,0.6410038692270688
11,REST,0.6819929464647209
11,S 21,0.6167972764587327
11,S 22,0.6261294854509252
11,S 51,0.6093423937892752
11,S 52,0.608488316058286
11,S 71,0.6542500595022706
11,S 72,0.6416527080565275
12,REST,0.5806306576741909
12,S 21,0.5293268965840049
12,S 22,0.5420840739868418
12,S 51,0.5220306095058308
12,S 52,0.5313582687400971
12,S 71,0.5578743584719081
12,S 72,0.5705467874245079
13,REST,0.7182435292289963
13,S 21,0.6661068901093854
13,S 22,0.6716022701469159
13,S 51,0.6564565884468064
13,S 52,0.652683183765616
13,S 71,0.664627774847082
13,S 72,0.6698044037281603
14,REST,0.6192730782914941
14,S 21,0.5916582901524966
14,S 22,0.6056021952034503
14,S 51,0.5955335839100274
14,S 52,0.5903609038157421
14,S 71,0.6024165479657378
14,S 72,0.600414847395776
15,REST,0.6319028439730103
15,S 21,0.5926321506775458
15,S 22,0.5964509913084292
15,S 51,0.6010724370166
15,S 52,0.5617797764443144
15,S 71,0.6107682695705045
15,S 72,0.5639191501894172
16,REST,0.6192945108039294
16,S 21,0.561379340163839
16,S 22,0.5793889544250651
16,S 51,0.5516068116232118
16,S 52,0.561580599393609
16,S 71,0.577862009318815
16,S 72,0.5752682531875967
17,REST,0.6653438319497452
17,S 21,0.6470763769147124
17,S 22,0.6469580322417486
17,S 51,0.6445777478243501
17,S 52,0.6543836969416963
17,S 71,0.6466710314206107
17,S 72,0.6544103272135842
18,REST,0.5706392096764387
18,S 21,0.556159186530387
18,S 22,0.5607547278932645
18,S 51,0.5772972281012104
18,S 52,0.5671491594986727
18,S 71,0.5413966780494902
18,S 72,0.515647581283068
19,REST,0.6415841440472783
19,S 21,0.6269028362886363
19,S 22,0.6337176217455015
19,S 51,0.6349367309995704
19,S 52,0.6314186510066673
19,S 71,0.6217174827661874
19,S 72,0.6304391966539681
20,REST,0.6889099227555462
20,S 21,0.6274060465414111
20,S 22,0.6219589843870499
20,S 51,0.6434365808418296
20,S 52,0.6559231374108037
20,S 71,0.6566146318187764
20,S 72,0.652575575878333
21,REST,0.6069150086924127
21,S 21,0.5842131129529837
21,S 22,0.5975543951764433
21,S 51,0.5863924357351179
21,S 52,0.5742192494990502
21,S 71,0.5983578194670408
21,S 72,0.5823908936708357
22,REST,0.6530121656180867
22,S 21,0.6186793922239238
22,S 22,0.6194505669250796
22,S 51,0.6324183640885667
22,S 52,0.6385447446582182
22,S 71,0.6386487730960753
22,S 72,0.6267894631041265
23,REST,0.6384895171768372
23,S 21,0.6145496352515003
23,S 22,0.6055975066655376
23,S 51,0.5938928241176306
23,S 52,0.585427479031324
23,S 71,0.5908164405309365
23,S 72,0.5659586406825948
24,REST,0.6201647619040663
24,S 21,0.6184263965541575
24,S 22,0.6105524222696774
24,S 51,0.6041742156527007
24,S 52,0.6001823225507648
24,S 71,0.5998000205986821
24,S 72,0.584707151854059
25,REST,0.6463500962045154
25,S 21,0.6363219042706761
25,S 22,0.6234864946273565
25,S 51,0.6438119807122604
25,S 52,0.6260541954771879
25,S 71,0.6345700268594767
25,S 72,0.6216377567010423
26,REST,0.592712481817722
26,S 21,0.5818805017414951
26,S 22,0.5875182223177337
26,S 51,0.6036688887884506
26,S 52,0.6028760304364778
26,S 71,0.5926330923627702
26,S 72,0.5744572270823266
27,REST,0.6586690431684542
27,S 21,0.5804254914850411
27,S 22,0.5814284649864119
27,S 51,0.6158290618895667
27,S 52,0.5917876060492464
27,S 71,0.5982611954950452
27,S 72,0.5767759305186024
28,REST,0.6124559704410726
28,S 21,0.5288830856162013
28,S 22,0.5513944354609956
28,S 51,0.5562419489506197
28,S 52,0.5522959015519778
28,S 71,0.5527860760732437
28,S 72,0.5469428924313811
29,REST,0.6082791982936366
29,S 21,0.5822492362297974
29,S 22,0.576121298243385
29,S 51,0.5580402145807835
29,S 52,0.5627324851961347
29,S 71,0.5546939637181837
29,S 72,0.5604748412918901
30,REST,0.6616079867239676
30,S 21,0.589206599832822
30,S 22,0.5875045521036916
30,S 51,0.5820084283081364
30,S 52,0.5753572732364308
30,S 71,0.5906256949301614
30,S 72,0.5897244327488808
31,REST,0.6322003486781024
31,S 21,0.5913724520114695
31,S 22,0.5935269182386752
31,S 51,0.6040400323793043
31,S 52,0.5977836723056236
31,S 71,0.572494851941075
31,S 72,0.5912383222258019
32,REST,0.5644569645164097
32,S 21,0.5785162539334879
32,S 22,0.5752914972535518
32,S 51,0.6072758039925574
32,S 52,0.5896817630902049
32,S 71,0.5801201711363795
32,S 72,0.5790591387872353
33,REST,0.6771571743083588
33,S 21,0.6520448740514736
33,S 22,0.6406732509441986
33,S 51,0.6375365075635588
33,S 52,0.6361755546079183
33,S 71,0.6619017172812034
33,S 72,0.6191432597791368
34,REST,0.6076934798482619
34,S 21,0.5738801589354443
34,S 22,0.5722379608479298
34,S 51,0.6223382549842915
34,S 52,0.6009559602683434
34,S 71,0.5600977047591553
34,S 72,0.5154450112505868
35,REST,0.631359890858561
35,S 21,0.6359682852629
35,S 22,0.6419540449821933
35,S 51,0.6499883628883137
35,S 52,0.6399667928685704
35,S 71,0.6490529231341916
35,S 72,0.6267049315157333
36,REST,0.6541871219736944
36,S 21,0.6234264124848133
36,S 22,0.6264222860947589
36,S 51,0.64239072512251
36,S 52,0.6269262008244265
36,S 71,0.6286195832971699
36,S 72,0.6246624360953354
37,REST,0.5694792506947165
37,S 21,0.5580792613287656
37,S 22,0.5651210115249856
37,S 51,0.573056521035985
37,S 52,0.5656682540634752
37,S 71,0.5805261251025308
37,S 72,0.5682342003028027
38,REST,0.6206954913571244
38,S 21,0.6196556496087353
38,S 22,0.6197666448680711
38,S 51,0.5835216031196196
38,S 52,0.5951537306459899
38,S 71,0.6179144799524421
38,S 72,0.6094652921330352
39,REST,0.6452176705697693
39,S 21,0.6095403281423339
39,S 22,0.5937021076701067
39,S 51,0.6099556173164387
39,S 52,0.592205565077771
39,S 71,0.6144912683703854
39,S 72,0.5935451047542211
40,REST,0.5616895402711525
40,S 21,0.5633322905506856
40,S 22,0.5568200521612379
40,S 51,0.56886737364101
40,S 52,0.5463205177397661
40,S 71,0.550917372660445
40,S 72,0.5332036099788442
41,REST,0.6271487007907154
41,S 21,0.564223943267578
41,S 22,0.5576340951810174
41,S 51,0.5693624855590643
41,S 52,0.5515823093511253
41,S 71,0.5772834539214646
41,S 72,0.5368733668335973
42,REST,0.6153341026384272
42,S 21,0.585119354324918
42,S 22,0.5984831884203293
42,S 51,0.5950298659418685
42,S 52,0.6056877493838846
42,S 71,0.6113045694140692
42,S 72,0.6053969738931851
43,REST,0.6111661779691662
43,S 21,0.6242640292878229
43,S 22,0.6193385049008455
43,S 51,0.6387041954492083
43,S 52,0.6122064429824801
43,S 71,0.6260486194117187
43,S 72,0.6286791998776537
44,REST,0.6457912769214688
44,S 21,0.6302624660419833
44,S 22,0.6111924898806811
44,S 51,0.5958165223107892
44,S 52,0.5979067590880964
44,S 71,0.6163488013152563
44,S 72,0.5896178160364448
